Season,Winning_Team,Runner_Up,Final_Venue
2008,Rajasthan Royals,Chennai Super Kings,Mumbai
2009,Deccan Chargers,Royal Challengers Bangalore,Johannesburg
2010,Chennai Super Kings,Mumbai Indians,Mumbai
2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai
2012,Kolkata Knight Riders,Chennai Super Kings,Chennai
2013,Mumbai Indians,Chennai Super Kings,Kolkata
2014,Kolkata Knight Riders,Kings XI Punjab,Bangalore
2015,Mumbai Indians,Chennai Super Kings,Kolkata
2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore
2017,Mumbai Indians,Rising Pune Supergiant,Hyderabad
2018,Chennai Super Kings,Sunrisers Hyderabad,Mumbai
2019,Mumbai Indians,Chennai Super Kings,Hyderabad
2020,Mumbai Indians,Delhi Capitals,Dubai
2021,Chennai Super Kings,Kolkata Knight Riders,Ahmedabad
2022,Gujarat Titans,Rajasthan Royals,Ahmedabad
2023,Chennai Super Kings,Gujarat Titans,Ahmedabad
